Дата,Водитель,Пробег,Ощутимые дефекты,Уровень масла ДВС,Уровень охл.жидкости,Уровень масла ГУР,Состояние тормозной.жид,Состояние AdBlue жидкости,Наружное освещение,Состояние омывателя и щеток С/О,Наличие неисправностей панели приборов,Повреждение шин
2024:04:01:17:45:58,Борт пробник,57789,['Нет дефектов'],Ниже нормы,MAX,MAX,[],,['Нет неисправностей'],[],['Нет неисправностей'],['Нет повреждений']
2024:04:02:12:49:47,Борт N1(A413MK),78000,['Нет дефектов'],MAX,MAX,MAX,[],,['Нет неисправностей'],['Износ щеток'],['Нет неисправностей'],['Нет повреждений']
2024:04:02:13:05:04,Борт  N2 (X194KC),47426,['Царапины'],MAX,MAX,MAX,[],,['Нет неисправностей'],['Нет неисправностей'],['Нет неисправностей'],['Нет повреждений']
2024:04:02:13:05:55,Борт  N2 (X194KC),Проба
2024:04:02:14:37:05,Борт пробник,57789,['Нет дефектов'],Ниже нормы,MAX,MAX,[],,['Нет неисправностей'],[],['Нет неисправностей'],['Нет повреждений'],-выполнено
2024:04:02:18:15:14,Борт  N2 (X194KC),Проба-выполнено
2024:04:03:22:17:55,борт 1,15106,['Нет дефектов'],MAX,Ниже нормы,MAX,[],,['Нет неисправностей'],[],['Чек'],['Нет повреждений']
2024:04:03:22:23:19,борт 1,15108,['Стук'],MAX,Ниже нормы,Ниже нормы,[],,['Нет неисправностей'],[],['Нет неисправностей'],['Порез']
2024:04:07:18:00:55,борт 1,15110,['Нет дефектов'],MAX,Ниже нормы,Ниже нормы,[],,['Не работает поворотник'],[],['Нет неисправностей'],['Нет повреждений']
2024:04:07:19:04:58,борт 1,15106,['Нет дефектов'],MAX,MAX,MAX,[],,['Нет неисправностей'],[],['Чек'],['Нет повреждений'],-выполнено
2024:04:07:19:04:58,борт 1,15108,['Нет дефектов'],MAX,MAX,Ниже нормы,[],,['Нет неисправностей'],[],['Нет неисправностей'],['Нет неисправностей'],-выполнено
2024:04:07:19:04:58,борт 1,15110,['Нет дефектов'],MAX,Ниже нормы,Ниже нормы,[],,['Не работает поворотник'],[],['Нет неисправностей'],['Нет повреждений'],-выполнено
2024:04:08:18:14:39,Борт N3,51500,['Нет дефектов'],MAX,MAX,MAX,[],,['Нет неисправностей'],['Нет неисправностей'],['Горит лампочка габоритов'],['Нет повреждений']
2024:04:08:18:50:41,Борт N4,92000,['Замена амартизаторов'],MAX,MAX,MAX,[],,['Левый поворотник на зеркале'],['Замена дворников'],['Нет неисправностей'],['Нет повреждений']
2024:04:09:12:23:15,Борт N5,67777,['Нет дефектов'],MAX,MAX,MAX,[],,['Нет неисправностей'],[],['Нет неисправностей'],['Нет повреждений']
2024:04:11:16:41:59,Борт N4,92000,['Замена амартизаторов'],MAX,MAX,MAX,[],,['Левый поворотник на зеркале'],['Замена дворников'],['Нет неисправностей'],['Нет повреждений'],-выполнено
